380,0.01
385,0.015
390,0.02
395,0.04
400,0.08
405,0.15
410,0.28
415,0.40
420,0.52
425,0.55
430,0.48
435,0.38
440,0.30
445,0.24
450,0.20
455,0.18
460,0.20
465,0.24
470,0.28
475,0.32
480,0.36
485,0.40
490,0.45
495,0.50
500,0.55
505,0.60
510,0.65
515,0.70
520,0.75
525,0.80
530,0.84
535,0.87
540,0.90
545,0.93
550,0.96
555,0.98
560,1.00
565,0.98
570,0.96
575,0.94
580,0.92
585,0.89
590,0.86
595,0.83
600,0.80
605,0.76
610,0.72
615,0.68
620,0.64
625,0.60
630,0.56
635,0.52
640,0.48
645,0.44
650,0.40
655,0.36
660,0.32
665,0.28
670,0.24
675,0.20
680,0.17
685,0.14
690,0.11
695,0.09
700,0.07
705,0.055
710,0.04
715,0.03
720,0.022
725,0.016
730,0.012
735,0.009
740,0.007
745,0.005
750,0.0035
755,0.0025
760,0.0018
765,0.0012
770,0.0008
775,0.0004
780,0.0002
